Gene_name	Intron_coord	Annot	Coding	UTR
KLHL17	chr1:964530-964963	True	True	False
KLHL17	chr1:964530-964962	False	False	False
KLHL17	chr1:964530-964934	False	True	False
KLHL17	chr1:964180-964349	True	True	False
KLHL17	chr1:964180-964348	False	True	False
KLHL17	chr1:964167-964349	True	False	False
KLHL17	chr1:964167-964348	False	True	False
KLHL17	chr1:964008-964107	True	True	False
KLHL17	chr1:963504-963920	True	True	False
KLHL17	chr1:963253-963337	True	True	False
KLHL17	chr1:962917-963109	True	True	False
KLHL17	chr1:962917-963108	False	False	False
KLHL17	chr1:962917-963032	True	False	False
KLHL17	chr1:962917-963031	False	True	False
KLHL17	chr1:962471-962704	True	True	False
KLHL17	chr1:962047-962355	True	True	False
KLHL17	chr1:962047-962354	False	False	False
KLHL17	chr1:962047-962285	False	False	False
KLHL17	chr1:961750-961826	True	True	False
KLHL17	chr1:961552-961629	True	True	False
KLHL17	chr1:960800-961293	True	True	False
ISG15	chr1:1013769-1013983	False	True	False
ISG15	chr1:1013576-1013984	True	True	False
ISG15	chr1:1013576-1013983	False	True	False
ISG15	chr1:1008279-1013984	True	True	False
ISG15	chr1:1001281-1008194	True	True	False
ISG15	chr1:1001263-1008194	True	True	False
AGRN	chr1:1054551-1054824	True	True	False
AGRN	chr1:1053977-1054448	True	True	False
AGRN	chr1:1053493-1053753	True	True	False
AGRN	chr1:1052016-1053461	True	True	False
AGRN	chr1:1051815-1053753	True	True	False
AGRN	chr1:1051815-1053752	False	False	False
AGRN	chr1:1051815-1053724	False	False	False
AGRN	chr1:1051815-1051993	True	True	False
AGRN	chr1:1051645-1051741	False	True	False
AGRN	chr1:1051645-1051728	True	True	False
AGRN	chr1:1051645-1051727	False	False	False
AGRN	chr1:1051369-1051453	True	True	False
AGRN	chr1:1051043-1051253	True	True	False
AGRN	chr1:1051043-1051252	False	True	False
AGRN	chr1:1050837-1051253	True	True	False
AGRN	chr1:1050837-1051252	False	True	False
AGRN	chr1:1050837-1051032	True	True	False
AGRN	chr1:1050837-1051031	False	True	False
AGRN	chr1:1050591-1050726	True	True	False
AGRN	chr1:1050329-1050427	True	True	False
AGRN	chr1:1050037-1050233	True	True	False
AGRN	chr1:1049795-1049903	True	True	False
AGRN	chr1:1049451-1049566	True	True	False
AGRN	chr1:1049059-1049236	True	True	False
AGRN	chr1:1048365-1048867	True	True	False
AGRN	chr1:1047895-1048012	True	True	False
AGRN	chr1:1047687-1047776	True	True	False
AGRN	chr1:1047454-1047573	True	True	False
AGRN	chr1:1046957-1047327	True	True	False
AGRN	chr1:1046735-1046820	True	True	False
AGRN	chr1:1046265-1046397	True	True	False
AGRN	chr1:1046265-1046396	False	False	False
AGRN	chr1:1046088-1046160	True	True	False
AGRN	chr1:1045876-1046396	False	False	False
AGRN	chr1:1045876-1045964	True	True	False
AGRN	chr1:1045876-1045963	False	False	False
AGRN	chr1:1045523-1045733	True	True	False
AGRN	chr1:1045277-1045359	True	True	False
AGRN	chr1:1044439-1045161	True	True	False
AGRN	chr1:1044257-1044334	True	True	False
AGRN	chr1:1044023-1044109	True	True	False
AGRN	chr1:1043732-1043823	True	True	False
AGRN	chr1:1043457-1043538	True	True	False
AGRN	chr1:1042162-1043239	True	True	False
AGRN	chr1:1041702-1041956	True	True	False
AGRN	chr1:1041397-1041478	True	True	False
AGRN	chr1:1040880-1041173	True	True	False
AGRN	chr1:1035324-1040665	True	True	False
AGRN	chr1:1034703-1035277	True	True	False
AGRN	chr1:1034703-1035276	False	True	False
AGRN	chr1:1022462-1035277	True	True	False
AGRN	chr1:1022462-1035276	False	True	False
AGRN	chr1:1020373-1022201	True	True	False
PUSL1	chr1:1311071-1311330	True	True	False
PUSL1	chr1:1310688-1310909	True	True	False
PUSL1	chr1:1309851-1310634	True	True	False
PUSL1	chr1:1309814-1310036	True	False	False
PUSL1	chr1:1309603-1309706	True	False	True
PUSL1	chr1:1309603-1309705	False	True	False
PUSL1	chr1:1309603-1309681	True	True	False
PUSL1	chr1:1309603-1309680	False	False	True
PUSL1	chr1:1309273-1309454	True	True	False
PUSL1	chr1:1308972-1309086	True	True	False
PUSL1	chr1:1308972-1309085	False	False	False
PUSL1	chr1:1308720-1309086	True	False	False
PUSL1	chr1:1308720-1309085	False	True	False
PUSL1	chr1:1308720-1308915	True	True	False
PUSL1	chr1:1308720-1308914	False	False	True
CPTP	chr1:1327032-1327241	True	True	False
CPTP	chr1:1327032-1327240	False	False	False
CPTP	chr1:1325595-1326836	True	True	False
CPTP	chr1:1325595-1326835	False	False	True
CPTP	chr1:1325102-1327241	True	False	False
CPTP	chr1:1325102-1327240	False	False	False
CPTP	chr1:1325102-1326836	True	True	False
CPTP	chr1:1325102-1326835	False	False	True
ATAD3B	chr1:1490671-1495485	True	True	False
ATAD3B	chr1:1490424-1490563	True	True	False
ATAD3B	chr1:1489811-1490257	True	False	False
ATAD3B	chr1:1489274-1490257	True	True	False
ATAD3B	chr1:1489274-1489692	True	False	True
ATAD3B	chr1:1487914-1489204	True	True	False
ATAD3B	chr1:1486668-1489204	True	False	True
ATAD3B	chr1:1486668-1487863	True	True	False
ATAD3B	chr1:1486235-1486544	True	True	False
ATAD3B	chr1:1485838-1486110	True	True	False
ATAD3B	chr1:1485171-1485782	True	True	False
ATAD3B	chr1:1482614-1485016	True	True	False
ATAD3B	chr1:1482303-1482545	True	True	False
ATAD3B	chr1:1480936-1482138	True	True	False
ATAD3B	chr1:1480908-1482266	True	True	False
ATAD3B	chr1:1479108-1480867	True	True	False
ATAD3B	chr1:1478745-1479049	True	True	False
ATAD3B	chr1:1478351-1478643	False	False	False
ATAD3B	chr1:1477350-1480867	True	True	False
ATAD3B	chr1:1477350-1478644	True	True	False
ATAD3B	chr1:1477350-1478643	False	False	False
ATAD3B	chr1:1472089-1477274	True	True	False
ATAD3A	chr1:1529331-1533926	True	True	False
ATAD3A	chr1:1527862-1529223	True	True	False
ATAD3A	chr1:1527862-1529222	False	False	False
ATAD3A	chr1:1527809-1529222	False	False	False
ATAD3A	chr1:1527238-1527695	True	True	False
ATAD3A	chr1:1527238-1527694	False	False	False
ATAD3A	chr1:1526531-1527695	True	True	False
ATAD3A	chr1:1526531-1527694	False	False	False
ATAD3A	chr1:1526531-1527161	True	True	False
ATAD3A	chr1:1525291-1526461	True	True	False
ATAD3A	chr1:1524397-1525240	True	True	False
ATAD3A	chr1:1523964-1524273	True	True	False
ATAD3A	chr1:1523567-1523839	True	True	False
ATAD3A	chr1:1522899-1523511	True	True	False
ATAD3A	chr1:1520617-1522744	True	True	False
ATAD3A	chr1:1520306-1522744	True	False	False
ATAD3A	chr1:1520306-1520548	True	True	False
ATAD3A	chr1:1519571-1520141	True	False	False
ATAD3A	chr1:1518990-1520141	True	True	False
ATAD3A	chr1:1518990-1519492	True	False	False
ATAD3A	chr1:1517775-1518921	True	True	False
ATAD3A	chr1:1517412-1517716	True	True	False
ATAD3A	chr1:1516088-1517311	True	True	False
ATAD3A	chr1:1516088-1517167	True	True	False
ATAD3A	chr1:1515858-1516011	False	False	True
ATAD3A	chr1:1512690-1516012	True	True	False
ATAD3A	chr1:1512690-1516011	False	False	True
ATAD3A	chr1:1512473-1516012	True	True	False
ATAD3A	chr1:1512473-1516011	False	True	False
MIB2	chr1:1629704-1630292	True	True	False
MIB2	chr1:1629566-1629639	True	True	False
MIB2	chr1:1629404-1629488	True	False	False
MIB2	chr1:1629311-1629639	True	True	False
MIB2	chr1:1629311-1629385	True	True	False
MIB2	chr1:1628722-1629133	True	True	False
MIB2	chr1:1628722-1629034	True	True	False
MIB2	chr1:1628399-1628489	True	True	False
MIB2	chr1:1628179-1628273	True	True	False
MIB2	chr1:1627829-1628019	True	True	False
MIB2	chr1:1627444-1627673	True	True	False
MIB2	chr1:1627207-1627296	True	True	False
MIB2	chr1:1626999-1627074	True	True	False
MIB2	chr1:1626754-1626837	True	True	False
MIB2	chr1:1625653-1626837	True	True	False
MIB2	chr1:1625653-1626650	True	True	False
MIB2	chr1:1625653-1626367	True	False	False
MIB2	chr1:1625428-1626650	True	True	False
MIB2	chr1:1625428-1625558	True	True	False
MIB2	chr1:1625428-1625557	False	True	False
MIB2	chr1:1625428-1625546	True	True	False
MIB2	chr1:1625428-1625545	False	True	False
MIB2	chr1:1625185-1625286	True	True	False
MIB2	chr1:1624901-1625286	True	True	False
MIB2	chr1:1624901-1624991	True	True	False
MIB2	chr1:1624901-1624965	True	False	False
MIB2	chr1:1623945-1624795	True	True	False
MIB2	chr1:1623699-1623774	True	True	False
MIB2	chr1:1623699-1623773	False	True	False
MIB2	chr1:1623679-1623774	True	True	False
MIB2	chr1:1623679-1623773	False	True	False
MIB2	chr1:1623482-1623774	True	True	False
MIB2	chr1:1623482-1623773	False	True	False
MIB2	chr1:1617715-1623431	True	True	False
MIB2	chr1:1617515-1623431	True	True	False
MIB2	chr1:1616614-1623431	True	True	False
MIB2	chr1:1616614-1623430	False	True	False
MIB2	chr1:1616614-1623389	True	True	False
MIB2	chr1:1616614-1623388	False	True	False
MIB2	chr1:1616614-1617078	True	False	False
MIB2	chr1:1616100-1616508	True	True	False
MIB2	chr1:1616100-1616507	False	True	False
MIB2	chr1:1615633-1616508	True	True	False
MIB2	chr1:1615633-1616507	False	True	False
SKI	chr1:2306250-2306577	True	True	False
SKI	chr1:2304585-2306020	True	True	False
SKI	chr1:2304108-2304293	True	True	False
SKI	chr1:2304108-2304292	False	False	False
SKI	chr1:2304102-2304293	True	True	False
SKI	chr1:2304102-2304292	False	False	False
SKI	chr1:2303400-2303840	True	True	False
SKI	chr1:2303103-2303285	True	True	False
SKI	chr1:2248071-2302978	True	False	False
SKI	chr1:2232669-2302978	True	False	False
SKI	chr1:2229735-2302978	True	True	False
SKI	chr1:2227524-2302978	True	False	False
RER1	chr1:2402342-2403035	True	True	False
RER1	chr1:2400935-2402207	True	True	False
RER1	chr1:2400935-2402206	False	True	False
RER1	chr1:2400935-2402097	True	True	False
RER1	chr1:2400935-2402096	False	True	False
RER1	chr1:2399514-2400857	True	True	False
RER1	chr1:2399514-2400856	False	True	False
RER1	chr1:2397220-2400857	True	True	False
RER1	chr1:2397220-2400856	False	True	False
RER1	chr1:2397220-2399415	True	True	False
RER1	chr1:2397220-2399414	False	True	False
RER1	chr1:2395871-2397116	True	True	False
RER1	chr1:2395648-2395784	True	True	False
RER1	chr1:2394728-2395783	False	False	True
RER1	chr1:2393355-2395783	False	False	True
RER1	chr1:2393355-2394646	False	False	False
RER1	chr1:2393231-2395784	True	True	False
RER1	chr1:2393231-2395783	False	False	True
RER1	chr1:2392126-2395783	False	False	True
RER1	chr1:2392126-2393207	False	False	True
RER1	chr1:2391958-2395784	True	True	False
RER1	chr1:2391958-2395783	False	False	True
RER1	chr1:2391958-2395608	True	True	False
RER1	chr1:2391958-2393269	False	False	True
RER1	chr1:2391958-2393207	False	False	True
TNFRSF14	chr1:2562896-2565053	True	True	False
TNFRSF14	chr1:2562896-2563148	True	True	False
TNFRSF14	chr1:2561957-2562865	True	True	False
TNFRSF14	chr1:2561957-2562864	False	False	True
TNFRSF14	chr1:2561815-2562865	True	True	False
TNFRSF14	chr1:2561815-2562864	False	True	False
TNFRSF14	chr1:2561724-2562864	False	True	False
TNFRSF14	chr1:2560714-2562864	False	True	False
TNFRSF14	chr1:2560714-2561777	True	True	False
TNFRSF14	chr1:2560714-2561776	False	True	False
TNFRSF14	chr1:2560714-2561673	True	True	False
TNFRSF14	chr1:2560714-2561672	False	True	False
TNFRSF14	chr1:2560714-2561494	True	True	False
TNFRSF14	chr1:2560714-2561493	False	True	False
TNFRSF14	chr1:2559978-2560624	True	True	False
TNFRSF14	chr1:2558468-2559908	False	True	False
TNFRSF14	chr1:2558468-2559823	True	True	False
TNFRSF14	chr1:2558468-2559822	False	True	False
TNFRSF14	chr1:2558468-2559527	False	True	False
TNFRSF14	chr1:2558468-2558881	True	False	False
TNFRSF14	chr1:2558468-2558880	False	False	False
TNFRSF14	chr1:2558468-2558687	False	False	False
TNFRSF14	chr1:2557834-2558343	True	True	False
TNFRSF14	chr1:2556997-2557725	False	False	False
TNFRSF14	chr1:2556733-2557726	True	True	False
TNFRSF14	chr1:2556733-2557725	False	False	False
TNFRSF14	chr1:2556455-2559352	True	False	True
TNFRSF14	chr1:2556261-2556585	True	True	False
TNFRSF14	chr1:2556261-2556584	False	False	True
TNFRSF14	chr1:2556252-2556585	True	True	False
TNFRSF14	chr1:2556252-2556584	False	False	True
TNFRSF14	chr1:2556032-2556585	True	True	False
TNFRSF14	chr1:2555850-2556585	True	True	False
TNFRSF14	chr1:2555850-2556584	False	False	True
TNFRSF14	chr1:2555667-2556585	True	True	False
TNFRSF14	chr1:2554120-2556584	False	False	True
PRXL2B	chr1:2589040-2589410	True	True	False
PRXL2B	chr1:2588625-2588954	True	True	False
PRXL2B	chr1:2588625-2588953	False	True	False
PRXL2B	chr1:2588625-2588922	True	True	False
PRXL2B	chr1:2588625-2588921	False	True	False
PRXL2B	chr1:2588453-2588957	True	True	False
PRXL2B	chr1:2588453-2588954	True	True	False
PRXL2B	chr1:2588453-2588922	True	True	False
PRXL2B	chr1:2588453-2588550	True	True	False
PRXL2B	chr1:2588453-2588549	False	True	False
PRXL2B	chr1:2588453-2588530	True	True	False
PRXL2B	chr1:2588453-2588529	False	False	False
PRXL2B	chr1:2587792-2588390	True	True	False
PRXL2B	chr1:2587792-2588389	False	False	False
PRXL2B	chr1:2587792-2588336	True	True	False
PRXL2B	chr1:2587792-2588335	False	False	False
PRXL2B	chr1:2587295-2587741	True	True	False
PRXL2B	chr1:2586948-2587091	True	True	False
PRXL2B	chr1:2586948-2587090	False	False	True
PRXL2B	chr1:2586873-2587114	True	False	True
PRXL2B	chr1:2586591-2587091	True	False	False
PRXL2B	chr1:2586591-2587090	False	False	False
TP73	chr1:3731556-3732747	True	True	False
TP73	chr1:3731556-3732746	False	False	True
TP73	chr1:3731065-3732747	True	True	False
TP73	chr1:3731065-3732746	False	True	False
TP73	chr1:3731065-3731463	True	True	False
TP73	chr1:3731065-3731462	False	True	False
TP73	chr1:3730148-3730927	True	True	False
TP73	chr1:3730148-3730926	False	True	False
TP73	chr1:3729448-3732747	True	True	False
TP73	chr1:3729448-3731463	True	True	False
TP73	chr1:3729448-3730927	True	True	False
